5771.134 6724.93 5951.055 7317.171 6151.005
6694.78 7131.636 6394.268 6049.811 5872.633
5362.737 6542.578 5762.641 6987.242 5630.31
6145.446 6376.065 5975.001 6294.206 6479.59
5457.751 5526.223 6511.151 5940.874 5843.051
5942.041 6060.006 6453.962 6579.151 5567.665
6673.15 6804.795 6169.322 6569.457 5988.486
6582.275 6652.383 6184.309 6317.175 6446.405
6830.65 5942.78 6701.861 6107.172 6356.917
6654.665 5825.252 6149.134 6486.838 6652.804
6414.149 6377.248 6316.22 7062.807 6558.303
6006.641 5912.17 6474.644 5987.529 5608.562
5542.867 6488.59 6799.717 5898.979 6268.883
6076.506 5616.359 6491.343 6269.607 5301.906
5750.368 6574.463 6564.097 6719.714 6373.596
6222.694 6551.132 5281.511 5664.604 5942.629
5923.251 6393.138 6029.076 5740.307 5698.794
6150.215 6615.335 6694.165 6414.97 5829.148
5848.004 5947.847 5873.298 6427.489 6200.715
6317.323 5925.931 6389.721 6949.797 5513.731
6383.963 5776.374 6563.778 6024.249 5671.422
6817.038 6222.089 6070.171 5658.745 6298.925
6634.14 5576.763 5722.956 6487.259 5905.152
6890.235 5867.884 6768.213 6782.24 6544.953
6151.519 6371.411 7063.451 6165.107 5841.788
5611.409 6905.375 6799.619 6329.563 6046.493
6359.142 6309.357 6247.401 5688.974 6047.762
5875.818 6503.153 6541.319 6362.054 6193.802
6463.575 5362.483 6601.516 6750.686 5703.767
6243.659 7136.526 6431.024 6536.309 6013.105
6127.583 6567.806 6130.393 5775.377 6678.866
5681.439 6071.443 5929.835 5885.048 5952.227
6670.284 6049.009 6546.9 5512.531 5874.045
5880.339 6210.525 5977.369 6631.472 6746.058
6759.291 6634.186 6220.886 6638.363 6016.05
5659.158 6676.201 5920.769 6028.098 5594.41
6300.464 6294.466 6522.509 6649.706 5773.197
6417.651 6434.435 6268.515 5873.669 6689.012
5895.786 5750.085 6198.484 5651.262 6249.054
6870.708 6475.739 6561.183 6946.478 6131.651
5936.594 7353.126 6590.034 5709.732 6941.088
6591.18 6194.671 7156.877 5887.991 6007.046
5837.632 6370.23 6243.571 5898.688 6051.129
6100.329 5631.503 6357.881 5851.282 6142.202
5564.474 6161.219 5857.603 6664.046 6808.55
6091.023 6201.911 6179.826 5948.743 6201.702
5758.451 5794.343 6737.94 6136.519 5865.497
6587.198 6093.03 6491.67 6221.803 5675.224
6076.573 6600.144 7137.784 6401.566 6059.38
6392.225 5834.181 6391.14 5924.215 6178.099
6764.654 6135.524 5781.607 5962.779 6735.664
6581.225 6336.094 5890.05 6123.07 6591.327
6099.062 6867.995 5685.11 5900.314 6276.37
6426.619 6485.815 6157.911 6459.815 5964.414
6383.84 5643.276 5771.001 5574.593 6240.767
6104.957 5470.103 5470.841 6595.416 5564.417
6574.85 5660.041 6230.576 6185.683 5867.548
5606.57 6170.607 5790.127 6811.129 6901.627
5866.689 6884.003 5346.308 6748.82 5992.658
6250.516 5478.556 6242.299 5686.487 6648.45
6447.871 6308.304 6347.613 5817.102 5506.755
6598.63 6577.704 6720.382 5949.571 6623.756
5502.44 5575.756 5799.674 6130.849 6346.96
6596.795 6646.915 6427.66 5455.376 6225.833
5383.666 6662.805 6365.947 5677.533 6551.751
5865.849 5737.525 6596.597 5830.001 5784.259
6627.586 6515.495 6607.996 6925.833 5632.861
6306.874 5852.169 6230.927 5879.719 6554.585
5775.575 6252.494 6547.44 6352.874 6475.837
6358.226 5834.441 6508.935 5401.326 6760.957
6082.779 5575.319 6308.829 6568.676 6159.708
6875.398 6397.761 5841.896 5396.098 6134.516
6692.031 5680.282 6567.135 6033.674 6297.178
